N_BOLETIM,SEQ_VEIC,COD_CATEG,DESCRICAO_CATEG,COD_ESPECIE,DESCRICAO_ESPECIE,COD_SITUACAO,DESCRICAO_SITUACAO,TIPO_SOCORRO,DESC_TIPO_SOCORRO
2019006348826001,1,4,ALUGUEL,8,ONIBUS,1,EMMOVIMENTO,6,NAOSEAPLICA
2019008874692001,1,4,ALUGUEL,8,ONIBUS,1,EMMOVIMENTO,6,NAOSEAPLICA
2019008889333001,1,3,PARTICULAR,3,MOTONETA,1,EMMOVIMENTO,0,NAOINFORMADO
2019008895748001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,6,NAOSEAPLICA
2019008901026001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,4,TERCEIROS
2019008931427001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2019008935598001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,3,AMBULANCIA
2019008947668001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2019008971250001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2019008973521001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019008982037001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2019008985476001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019012045415001,1,3,PARTICULAR,12,CAMIONETA,1,EMMOVIMENTO,6,NAOSEAPLICA
2019012045835001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019012049216001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,5,DISPENSOUATENDIMEN
2019012061370001,1,3,PARTICULAR,13,CAMINHAO,1,EMMOVIMENTO,6,NAOSEAPLICA
2019012156690002,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019004245715001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,4,TERCEIROS
2019004283129002,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019004293481001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019004337063001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019004371371001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,0,NAOINFORMADO
2019004390218004,1,4,ALUGUEL,13,CAMINHAO,1,EMMOVIMENTO,3,AMBULANCIA
2019006394812001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019006414975001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,4,TERCEIROS
2019006555911001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019006586299001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,0,NAOINFORMADO
2019006591129001,2,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,5,DISPENSOUATENDIMEN
2019008987629001,1,4,ALUGUEL,8,ONIBUS,1,EMMOVIMENTO,6,NAOSEAPLICA
2019008992296001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019009058235001,1,0,NAOINFORMADO,4,MOTOCICLETA,1,EMMOVIMENTO,6,NAOSEAPLICA
2019009059411001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2019009073337001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019009078223001,1,4,ALUGUEL,8,ONIBUS,1,EMMOVIMENTO,6,NAOSEAPLICA
2019009099426001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,6,NAOSEAPLICA
2019009141288001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019009159327001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019009160412001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,6,NAOSEAPLICA
2019009162214001,1,4,ALUGUEL,8,ONIBUS,1,EMMOVIMENTO,6,NAOSEAPLICA
2019009163667001,1,5,APRENDIZAGEM,4,MOTOCICLETA,1,EMMOVIMENTO,5,DISPENSOUATENDIMEN
2019009179826001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019011216685001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019011231523001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019011250909001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019011266065001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019011274271001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,5,DISPENSOUATENDIMEN
2019011275969001,1,4,ALUGUEL,8,ONIBUS,1,EMMOVIMENTO,6,NAOSEAPLICA
2019011281652001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,5,DISPENSOUATENDIMEN
2019011291896001,1,4,ALUGUEL,8,ONIBUS,1,EMMOVIMENTO,6,NAOSEAPLICA
2019011307377001,1,4,ALUGUEL,4,MOTOCICLETA,1,EMMOVIMENTO,6,NAOSEAPLICA
2019011330105001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,5,DISPENSOUATENDIMEN
2019011333585001,1,4,ALUGUEL,8,ONIBUS,1,EMMOVIMENTO,6,NAOSEAPLICA
2019011338995001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,4,TERCEIROS
2019011371051001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,3,AMBULANCIA
2019011419036001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,5,DISPENSOUATENDIMEN
2019004418728001,1,3,PARTICULAR,12,CAMIONETA,1,EMMOVIMENTO,6,NAOSEAPLICA
2019004454236001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,3,AMBULANCIA
2019004467580001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019004534890001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019004539197001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,3,AMBULANCIA
2019004580297001,1,4,ALUGUEL,8,ONIBUS,1,EMMOVIMENTO,6,NAOSEAPLICA
2019006591395001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019006601141001,1,0,NAOINFORMADO,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2019006652052001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,5,DISPENSOUATENDIMEN
2019006653254001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,5,DISPENSOUATENDIMEN
2019006710569001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,6,NAOSEAPLICA
2019006726938001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019006729684001,1,4,ALUGUEL,8,ONIBUS,1,EMMOVIMENTO,6,NAOSEAPLICA
2019006742580001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2019006771315001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,5,DISPENSOUATENDIMEN
2019006772890001,1,4,ALUGUEL,6,AUTOMOVEL,1,EMMOVIMENTO,5,DISPENSOUATENDIMEN
2019006784145001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019009228194001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,5,DISPENSOUATENDIMEN
2019009241481001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,6,NAOSEAPLICA
2019009261495001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019009263350001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,3,AMBULANCIA
2019009269015001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019009277799001,1,0,NAOINFORMADO,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019009281730001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,5,DISPENSOUATENDIMEN
2019009285109001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019009286551001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,4,TERCEIROS
2019009302989001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,3,AMBULANCIA
2019009324110001,2,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,5,DISPENSOUATENDIMEN
2019009339723001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,4,TERCEIROS
2019009359360001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019009363882001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,5,DISPENSOUATENDIMEN
2019011731789001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019011789607001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019004587730001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019004591152001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019004658748001,1,4,ALUGUEL,8,ONIBUS,1,EMMOVIMENTO,6,NAOSEAPLICA
2019004672350001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019004682459001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019004685922001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019004686485001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019004697563002,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019006793870001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019006836510001,2,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,5,DISPENSOUATENDIMEN
2019006836591001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019006841120001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,6,NAOSEAPLICA
2019006848295002,1,4,ALUGUEL,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019006864770001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019006872476001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,3,AMBULANCIA
2019006909660001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,5,DISPENSOUATENDIMEN
2019006936256001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,6,NAOSEAPLICA
2019006960108001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,5,DISPENSOUATENDIMEN
2019006964500001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019006966750001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019006967783001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019009406128001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,3,AMBULANCIA
2019009417600001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019009443520001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,5,DISPENSOUATENDIMEN
2019009451451001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019009467285001,1,0,NAOINFORMADO,8,ONIBUS,1,EMMOVIMENTO,6,NAOSEAPLICA
2019009526651001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,6,NAOSEAPLICA
2019012222272001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019012236915001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,5,DISPENSOUATENDIMEN
2019012260510001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,5,DISPENSOUATENDIMEN
2019012271758001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019012300595001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,6,NAOSEAPLICA
2019012344617001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019012345351001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,0,NAOINFORMADO
2019012356938001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2019012372354001,1,4,ALUGUEL,26,CAMINHONETE,1,EMMOVIMENTO,5,DISPENSOUATENDIMEN
2019004803387001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019004821179001,1,4,ALUGUEL,8,ONIBUS,1,EMMOVIMENTO,6,NAOSEAPLICA
2019004823228001,1,4,ALUGUEL,8,ONIBUS,2,PARADO,6,NAOSEAPLICA
2019004833000001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2019004854952001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019004917803001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019004951460001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019004956616001,1,4,ALUGUEL,13,CAMINHAO,1,EMMOVIMENTO,6,NAOSEAPLICA
2019004983712001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019006970339001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019006976925001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,5,DISPENSOUATENDIMEN
2019006979615001,1,4,ALUGUEL,8,ONIBUS,1,EMMOVIMENTO,6,NAOSEAPLICA
2019006981116001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,6,NAOSEAPLICA
2019007029107001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019007043468001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2019007048508001,1,2,MISSAODIPLOMATICA,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2019007058622001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019007073408001,1,4,ALUGUEL,8,ONIBUS,2,PARADO,6,NAOSEAPLICA
2019007083641001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019007083970001,1,4,ALUGUEL,8,ONIBUS,1,EMMOVIMENTO,6,NAOSEAPLICA
2019007093359001,1,4,ALUGUEL,8,ONIBUS,2,PARADO,6,NAOSEAPLICA
2019007109247001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019007134200001,1,4,ALUGUEL,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019009552201002,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019009617748001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019009680625001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2019009719680001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,5,DISPENSOUATENDIMEN
2019011450009003,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,3,AMBULANCIA
2019011509836001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019011570714001,1,4,ALUGUEL,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019011586403001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019007147174002,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019007158854001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
